Species;Abbrevation;Seed mixture - proportion (%);;;;
Pastinaca sativa;Past_sati;;1;3;1;1.5
Phacelia tanacetifolia;Phac_tana;5.5;5.5;;5;2.5
Phleum pratense;Phle_prat;;;;;
Pimpinella major;Pimp_majo;;;3;;
Plantago lanceolata;Plan_lanc;1;3.5;;2;1.5
Plantago major;Plan_majo;;;;;
Plantago media;Plan_medi;;0.2;;;
Poa annua;Poa _annu;;;;;
Poa pratensis;Poa _prat;;;;;
Poa trivialis;Poa _triv;;;;;
Prunella vulgaris;Prun_vulg;;0.2;2;;1.13
Ranunculus acris;Ranu_acri;;;;;
Ranunculus repens;Ranu_repe;;;;;
Reseda luteola;Rese_lute;;0.5;;0.3;0.38
Rumex crispus;Rume_cris;;;;;
Rumex obtusifolius;Rume_obtu;;;;;
Salix caprea;Sali_capr;;;;;
Salvia pratensis;Salv_prat;;2.5;3;1.2;3.75
Sanguisorba minor;Sang_mino;1;2;3;2;1.12
Sanguisorba officinalis;Sang_offi;;;2.5;;
Saponaria officinalis;Sapo_offi;;;;0.5;0.75
Scorzoneroides autumnalis;Scor_autu;;;;;0.38
Sherardia arvensis;Sher_arve;;;3;;
Silene dioica;Sile_dioi;;;2;0.8;2.25
Silene flos-cuculi;Sile_flos;;;2;;1.13
Silene latifolia;Sile_lati;;0.4;2;0.8;1.13
Silene vulgaris;Sile_vulg;;1.8;3;1.3;1.5
Sinapis alba;Sina_alba;;;;2;1.5
Sinapis arvensis;Sina_arve;;;;1;
Solidago virgaurea;Soli_virg;;;;0.2;
Sonchus asper;Sonc_aspe;;;;;
Stellaria media;Stel_medi;;;;;
Tanacetum vulgare;Tana_vulg;;;0.5;0.1;
Taraxacum officinale;Tara_offi;;;;;
Tragopogon pratensis;Trag_prat;;;2;;1.5
Trifolium hybridum;Trif_hybr;10;;;;
Trifolium incarnatum;Trif_inca;;;;4;1.25
Trifolium pratense;Trif_prat;10;;3;;1.13
Trifolium repens;Trif_repe;10;;3;;
Trisetum flavescens;Tris_flav;;;;;1.5
Tussilago farfara;Tuss_farf;;;;;
Urtica dioica;Urti_dioi;;;;;
Valeriana dentata;Vale_dent;;;1.5;;
Valeriana rimosa;Vale_rimo;;;1.5;;
Verbascum densiflorum;Verb_dens;;;;0.6;
Verbascum lychnitis;Verb_lych;;0.2;;;
Verbascum nigrum;Verb_nigr;;;;0.5;0.75
Verbascum thapsus;Verb_thap;;;2;;
Veronica arvensis;Vero_arve;;;;;
Veronica chamaedrys;Vero_cham;;;;;
Veronica hederifolia;Vero_hede;;;;;
Veronica persica;Vero_pers;;;;;
Vicia cracca;Vici_crac;;;;;0.75
Vicia sativa;Vici_sati;;6.3;;5;2.5
Viola arvensis;Viol_arve;;;;;
Viola tricolor;Viol_tric;;;;;
